City,Raid Location,Friendly Name,Longitude,Latitude,Map Link
Redmond,Salmon Circles II,Red Robin,47.670266,-122.113983,"https://www.google.com/maps/dir/?api=1&destination=47.670266,-122.1139830"
Redmond,Bear Creek Crossing,Redmond Panera,47.671026,-122.110648,"https://www.google.com/maps/dir/?api=1&destination=47.671026,-122.1106480"
Redmond,Riparian Area,Safeway/Riparian,47.671820,-122.108778,"https://www.google.com/maps/dir/?api=1&destination=47.671820,-122.1087780"
Redmond,Fountain Fish,Millennium Campus,47.677081,-122.093758,"https://www.google.com/maps/dir/?api=1&destination=47.677081,-122.0937580"
Redmond,The Redmond Bicycle,Redmond Bicycle,47.673542,-122.134375,"https://www.google.com/maps/dir/?api=1&destination=47.673542,-122.1343750"
Redmond,Bicycle Bike Rack,Redmond 7-11,47.669839,-122.130934,"https://www.google.com/maps/dir/?api=1&destination=47.669839,-122.1309340"
Redmond,Big Red Ball,Redmond Target,47.672208,-122.104056,"https://www.google.com/maps/dir/?api=1&destination=47.672208,-122.1040560"
Redmond,Works Sculpture at Redmond Cit,Redmond Works Sculpture,47.672222,-122.098055,"https://www.google.com/maps/dir/?api=1&destination=47.672222,-122.0980550"
Redmond,Redmond Post Office,Redmond Post Office,47.669300,-122.095035,"https://www.google.com/maps/dir/?api=1&destination=47.669300,-122.0950350"
Redmond,Redmond Bicycle Sculpture,Redmond Inn,47.668468,-122.105097,"https://www.google.com/maps/dir/?api=1&destination=47.668468,-122.1050970"
Redmond,Muslim Association Of Puget Sound,Muslim Association (MAPS),47.665574,-122.106531,"https://www.google.com/maps/dir/?api=1&destination=47.665574,-122.1065310"
Redmond,Uly Al Rw,Marymoor (Uly Al Rw),47.661421,-122.105375,"https://www.google.com/maps/dir/?api=1&destination=47.661421,-122.1053750"
Redmond,Vern Wagner Fields Dedication,Marymoor (Vern Wagner),47.664586,-122.115819,"https://www.google.com/maps/dir/?api=1&destination=47.664586,-122.1158190"
Redmond,Marymoor Park Soccer Fields,Marymoor (Soccer Fields),47.665222,-122.119801,"https://www.google.com/maps/dir/?api=1&destination=47.665222,-122.1198010"
Redmond,Have You Seen My Baseball?,Marymoor (Baseball Fields),47.664054,-122.124510,"https://www.google.com/maps/dir/?api=1&destination=47.664054,-122.1245100"
Redmond,Marymoor Park,Marymoor (Entrance),47.662058,-122.125947,"https://www.google.com/maps/dir/?api=1&destination=47.662058,-122.1259470"
