City,Raid Location,Friendly Name,Longitude,Latitude,Map Link
Overlake,Cafe 43 Fountain,Microsoft Cafe 43,47.639946,-122.133298,"https://www.google.com/maps/dir/?api=1&destination=47.639946,-122.1332980"
Overlake,Small Waterfall,Microsoft B24,47.64113,-122.131385,"https://www.google.com/maps/dir/?api=1&destination=47.641130,-122.1313850"
Overlake,Microsoft Vision Plaque,Microsoft B16,47.642939,-122.127827,"https://www.google.com/maps/dir/?api=1&destination=47.642939,-122.1278270"
Overlake,Microsoft Fountain,Microsoft B9,47.639626,-122.127396,"https://www.google.com/maps/dir/?api=1&destination=47.639626,-122.1273960"
Overlake,Double Quad,Microsoft B6,47.639234,-122.125582,"https://www.google.com/maps/dir/?api=1&destination=47.639234,-122.1255820"
Overlake,TWC - Stone Columns,Microsoft B27,47.635711,-122.130721,"https://www.google.com/maps/dir/?api=1&destination=47.635711,-122.1307210"
Rose Hill,Tech City Bowl,Tech City Bowl,47.666658,-122.165583,"https://www.google.com/maps/dir/?api=1&destination=47.666658,-122.1655830"
Rose Hill,Bowling Mania,Tech City Bowling Mania,47.666398,-122.165746,"https://www.google.com/maps/dir/?api=1&destination=47.666398,-122.1657460"
Bridle Trails,Bridle Crest Trail Sign,Westside Park,47.659676,-122.132498,"https://www.google.com/maps/dir/?api=1&destination=47.659676,-122.1324980"
Redmond,Redmond Stormwater Project,Redmond Arco,47.681894,-122.143754,"https://www.google.com/maps/dir/?api=1&destination=47.681894,-122.1437540"
Redmond,Black Raven Brewing Co.,Black Raven,47.685628,-122.14461,"https://www.google.com/maps/dir/?api=1&destination=47.685628,-122.1446100"
Redmond,Digipen Institute of Technology,Digipen,47.688851,-122.150289,"https://www.google.com/maps/dir/?api=1&destination=47.688851,-122.1502890"
Redmond,Willows Run Golf,Willows Golf Course,47.694295,-122.150992,"https://www.google.com/maps/dir/?api=1&destination=47.694295,-122.1509920"
Redmond,Trails Project Kiosk,Samammish River Trail Kiosk,47.689861,-122.134146,"https://www.google.com/maps/dir/?api=1&destination=47.689861,-122.1341460"
Redmond,Redmond - Powerline Trail,Redmond Powerline Trail,47.691434,-122.130248,"https://www.google.com/maps/dir/?api=1&destination=47.691434,-122.1302480"
Redmond,Redwood Family Church,Redwood Family Church,47.702695,-122.131803,"https://www.google.com/maps/dir/?api=1&destination=47.702695,-122.1318030"
Redmond,Perrigo Park Welcome Sign,Perrigo Park,47.682932,-122.080517,"https://www.google.com/maps/dir/?api=1&destination=47.682932,-122.0805170"
